（親）ASIN,（子）ASIN,タイトル,セッション数 - 合計,セッション率 - 合計,ページビュー - 合計,ページビュー率 - 合計,おすすめ出品（おすすめ商品）の獲得率,注文された商品点数,ユニットセッション率,注文商品の売上額,注文品目総数,商品が返金されました,返金率
B0FVSJNBZ7,B0FPGCDLM2,[CALM.st] ポップコーンバッグ トート キルティング 大容量 マザーズ 軽量 レディース ワッフル 韓国 (もこもこホワイトL),48,1.87%,57,1.62%,98.18%,0,0.00%,￥0,0,0,0.00%
B0FPGPFXNK,B0FPGJTC2K,"[CALM.st] スニーカー ランニングシューズ 軽量 メンズ ジョギング ウォーキング ジム 通気 運動靴 通学 (ブラック (高密度メッシュ), 日本の靴のサイズ寸法, 大人, 数値, 27.0 cm)",10,0.39%,10,0.28%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FPGPFXNK,B0FPGKL6V3,"[CALM.st] スニーカー ランニングシューズ 軽量 メンズ ジョギング ウォーキング ジム 通気 運動靴 通学 (ブラック (高密度メッシュ), 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",3,0.12%,3,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FPGPFXNK,B0FPGLMYKL,"[CALM.st] スニーカー ランニングシューズ 軽量 メンズ ジョギング ウォーキング ジム 通気 運動靴 通学 (ブラック (高密度メッシュ), 日本の靴のサイズ寸法, 大人, 数値, 26.0 cm)",5,0.19%,6,0.17%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FQ634CN3,B0FQ5W4VNS,スマホポーチ ショルダー スマホ メンズ 小さめ ポシェット スマホケース サコッシュ 斜めがけ (グリーン),23,0.89%,32,0.91%,96.43%,0,0.00%,￥0,0,0,0.00%
B0FQ634CN3,B0FQ5Z5RDN,[CALM.st] スマホポーチ ショルダー スマホ メンズ 小さめ ポシェット スマホケース サコッシュ 斜めがけ (ダークブルー),7,0.27%,8,0.23%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWLJK1M,B0FRSS4H9X,"[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整 マタニティ Aライン フレア ゆったり (JP, アルファベット, 5L, ブラック)",1,0.04%,1,0.03%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS6M1SL8,B0FS2BZYV2,[CALM.st] トートバッグ キャンバス 軽量 仕切り 自立 マチ広 ハンドバッグ シンプル レディース (ブラックB スモール (ショルダー有り)),111,4.32%,173,4.91%,98.73%,0,0.00%,￥0,0,0,0.00%
B0FS6M1SL8,B0FS2DRM1K,[CALM.st] トートバッグ キャンバス 軽量 仕切り 自立 マチ広 ハンドバッグ シンプル レディース (ブラックA ラージ),71,2.76%,104,2.95%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS6P47DH,B0FS2QMSVD,財布 ミニ財布 コンパクト カードケース メンズ 本革 薄型 2つ折り 小銭入れ 大容量 ファスナー (ホワイト),2,0.08%,2,0.06%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS6P47DH,B0FS31JVSQ,財布 ミニ財布 コンパクト カードケース メンズ 本革 薄型 2つ折り 小銭入れ 大容量 ファスナー (ブラック),5,0.19%,6,0.17%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS6P47DH,B0FS388KNJ,財布 ミニ財布 コンパクト カードケース メンズ 本革 薄型 2つ折り 小銭入れ 大容量 ファスナー (ブラウン),1,0.04%,1,0.03%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS81R2FB,B0FS7X8LXR,"[CALM.st] ワンピース ロング丈 ドッキング 長袖 レディース ニット 異素材 切替 大きいサイズ きれいめ (JP, アルファベット, 2XL, ブラック)",7,0.27%,7,0.20%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS81R2FB,B0FS7Z8S31,"[CALM.st] ワンピース ロング丈 ドッキング 長袖 レディース ニット 異素材 切替 大きいサイズ きれいめ (JP, アルファベット, XL, ブラック)",22,0.86%,28,0.79%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS83BQ26,B0FS82SX3X,"[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック (JP, アルファベット, XS, ブラック)",3,0.12%,3,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS83BQ26,B0FS83BQ26,[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック,1,0.04%,1,0.03%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FS83BQ26,B0FS83JPTG,"[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック (JP, アルファベット, S, ホワイト)",4,0.16%,5,0.14%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS81R2FB,B0FS83SD3R,"[CALM.st] ワンピース ロング丈 ドッキング 長袖 レディース ニット 異素材 切替 大きいサイズ きれいめ (JP, アルファベット, 4XL, ブラック)",14,0.54%,16,0.45%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS83BQ26,B0FS86G4PF,"[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック (JP, アルファベット, XS, ホワイト)",9,0.35%,10,0.28%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FST32ZJ5,B0FSS4CKN6,[CALM.st] 00054-BK-25,7,0.27%,11,0.31%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FST32ZJ5,B0FSSPTF3X,[CALM.st] 厚底 ブーツ ショートブーツ レディース レースアップ ブーティー 軽量 サイドジッパー コスプレ,19,0.74%,29,0.82%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FST32ZJ5,B0FST32ZJ5,[CALM.st] 厚底 ブーツ ショートブーツ レディース レースアップ ブーティー 軽量 サイドジッパー コスプレ,1,0.04%,1,0.03%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FDWKWXD6,B0FV3S387D,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (ベージュ, 日本の靴のサイズ寸法, 大人, 数値, 23.5 cm)",10,0.39%,10,0.28%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FXH9F9MV,B0FX42J1PL,"[CALM.st] ワイドパンツ レディース きれいめ ロング ガウチョ フレア パンツ スカーチョ 通年 韓国風 ハイウエスト 9分丈 (JP, アルファベット, L, ブラック)",21,0.82%,31,0.88%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FXH9F9MV,B0FX44NK9K,"[CALM.st] ワイドパンツ レディース きれいめ ロング ガウチョ フレア パンツ スカーチョ 通年 韓国風 ハイウエスト 9分丈 (JP, アルファベット, XL, ライトブラウン)",6,0.23%,6,0.17%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FXHB2T63,B0FX458WXY,[CALM.st] トレーナー レディース スウェット 長袖 丸首 プルオーバー ゆったり 刺繍 シンプル 無地 韓国,6,0.23%,6,0.17%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FXHBNQ7V,B0FX45F52W,"[CALM.st] パンプス レディース ローヒール 靴 歩きやすい リクルート オフィス フォーマル 就活 通勤 出張 1cmヒール (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",2,0.08%,3,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FXH9F9MV,B0FX47H3HP,"[CALM.st] ワイドパンツ レディース きれいめ ロング ガウチョ フレア パンツ スカーチョ 通年 韓国風 ハイウエスト 9分丈 (JP, アルファベット, L, ライトブラウン)",23,0.89%,27,0.77%,96.15%,0,0.00%,￥0,0,0,0.00%
B0FXHBNQ7V,B0FX495PLD,"[CALM.st] パンプス レディース ローヒール 靴 歩きやすい リクルート オフィス フォーマル 就活 通勤 出張 1cmヒール (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 24.0 cm)",3,0.12%,4,0.11%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FXHB2T63,B0FX49FR44,"[CALM.st] トレーナー レディース スウェット 長袖 丸首 プルオーバー ゆったり 刺繍 シンプル 無地 韓国 (JP, アルファベット, XL, ブラック)",2,0.08%,2,0.06%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FPRHKVYT,B0FX4D9B6G,ボディバッグ メンズ 小さめ 防水 斜めがけ ウエストポーチ ショルダーバッグ 軽量 ランニング,6,0.23%,6,0.17%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FXHBNQ7V,B0FXWKCD41,"[CALM.st] パンプス レディース ローヒール 靴 歩きやすい リクルート オフィス フォーマル 就活 通勤 出張 1cmヒール (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 24.5 cm)",6,0.23%,6,0.17%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FYQR4STD,B0FY2NCWZK,"[CALM.st] ワンピース レディース 無地 ロングワンピース 長袖 ハーフハイネック レトロ シンプル ポケット付き 体型カバー ゆったり 普段着 (JP, アルファベット, XL, ブラック)",47,1.83%,57,1.62%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FYQR4STD,B0FY2R12JW,[CALM.st] ワンピース レディース 無地 ロングワンピース 長袖 ハーフハイネック レトロ シンプル ポケット付き 体型カバー ゆったり 普段着,20,0.78%,23,0.65%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FYQR4STD,B0FY2S9PZF,"[CALM.st] ワンピース レディース 無地 ロングワンピース 長袖 ハーフハイネック レトロ シンプル ポケット付き 体型カバー ゆったり 普段着 (JP, アルファベット, 2XL, ブラック)",28,1.09%,31,0.88%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS83BQ26,B0G1NFJH88,[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック,2,0.08%,2,0.06%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS83BQ26,B0G1NJMSM4,[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック,2,0.08%,3,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWKWXD6,B0G1S55DW2,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (グレー, 日本の靴のサイズ寸法, 大人, 数値, 23.0 cm)",2,0.08%,2,0.06%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWKWXD6,B0G1S5F6KC,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (ベージュ, 日本の靴のサイズ寸法, 大人, 数値, 23.0 cm)",4,0.16%,4,0.11%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FPGPFXNK,B0G1S73QSF,"[CALM.st] スニーカー ランニングシューズ 軽量 メンズ ジョギング ウォーキング ジム 通気 運動靴 通学 (ブラック (高密度メッシュ), 日本の靴のサイズ寸法, 大人, 数値, 26.5 cm)",11,0.43%,16,0.45%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FPGPFXNK,B0G1S8KQDF,"[CALM.st] スニーカー ランニングシューズ 軽量 メンズ ジョギング ウォーキング ジム 通気 運動靴 通学 (ブラック (高密度メッシュ), 日本の靴のサイズ寸法, 大人, 数値, 25.5 cm)",3,0.12%,3,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FMPH1BZ3,B0G1SBD7DM,"[CALM.st] レディース スニーカー メッシュ 軽量 通気性 ランニングシューズ 春夏秋 幅広 サイズ 黒 白 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 23.0 cm)",2,0.08%,2,0.06%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FMPH1BZ3,B0G1SBYNGB,"[CALM.st] レディース スニーカー メッシュ 軽量 通気性 ランニングシューズ 春夏秋 幅広 サイズ 黒 白 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 24.5 cm)",3,0.12%,3,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FMPH1BZ3,B0G1SCVLW9,"[CALM.st] レディース スニーカー メッシュ 軽量 通気性 ランニングシューズ 春夏秋 幅広 サイズ 黒 白 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 25.5 cm)",3,0.12%,5,0.14%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2YXDX61,B0G1V2BS2N,"[CALM.st] 腹巻 薄手 厚手 温活 ウエストウォーマー 防寒 冷え対策 レディース 綿 ボア 伸縮フィット マタニティ 就寝 メンズ (1, ブラックボア(30cm丈), フリーサイズ)",1,0.04%,2,0.06%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS83BQ26,B0G1XZ6VFG,[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック,1,0.04%,1,0.03%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS83BQ26,B0G1Y2Y6DV,[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック,2,0.08%,2,0.06%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS83BQ26,B0G1Y71TQV,"[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック (JP, アルファベット, M, ブラック/ホワイト)",5,0.19%,5,0.14%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2YXDX61,B0G2CJFSVV,"[CALM.st] 腹巻 薄手 厚手 温活 ウエストウォーマー 防寒 冷え対策 レディース 綿 ボア 伸縮フィット マタニティ 就寝 メンズ (1, ブラック(フィット), XL)",7,0.27%,12,0.34%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2YXDX61,B0G2CJXNBM,"[CALM.st] 腹巻 薄手 厚手 温活 ウエストウォーマー 防寒 冷え対策 レディース 綿 ボア 伸縮フィット マタニティ 就寝 メンズ (1, ブラック(フィット), M)",4,0.16%,4,0.11%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2YXDX61,B0G2CK1PWN,"[CALM.st] 腹巻 薄手 厚手 温活 ウエストウォーマー 防寒 冷え対策 レディース 綿 ボア 伸縮フィット マタニティ 就寝 メンズ (1, ブラック(フィット), L)",9,0.35%,10,0.28%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2YXDX61,B0G2CP1N3T,"[CALM.st] 腹巻 薄手 厚手 温活 ウエストウォーマー 防寒 冷え対策 レディース 綿 ボア 伸縮フィット マタニティ 就寝 メンズ (2, ブラックボア(30cm丈), フリーサイズ)",1,0.04%,1,0.03%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2Z13C8S,B0G2CPZMM6,"[CALM.st] カーディガン ニット レディース 薄手 前開き 体型カバー 高見え ゆったり セーター シンプル 上品 伸縮 保温 カジュアル オフィス 通勤 日常 羽織 (JP, アルファベット, XL, ブラック)",3,0.12%,3,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2M8VJLW,B0G2CQRDKL,[CALM.st] 靴下 レディース ソックス くるぶし 綿 防臭 通気 吸汗 脱げない セット 無地 シンプル オフィス カジュアル スポーツ ギフト 3足 5足 (5),2,0.08%,2,0.06%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2Z13C8S,B0G2CSW3KY,"[CALM.st] カーディガン ニット レディース 薄手 前開き 体型カバー 高見え ゆったり セーター シンプル 上品 伸縮 保温 カジュアル オフィス 通勤 日常 羽織 (JP, アルファベット, M, ブラック)",2,0.08%,2,0.06%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2Z13C8S,B0G2CTDKRX,"[CALM.st] カーディガン ニット レディース 薄手 前開き 体型カバー 高見え ゆったり セーター シンプル 上品 伸縮 保温 カジュアル オフィス 通勤 日常 羽織 (JP, アルファベット, 2XL, ブラック)",1,0.04%,1,0.03%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2YQQZMV,B0G2CTDMBV,"[CALM.st] 猫 ねこ スリッパ もふもふ 室内 冬用 猫柄 ルームシューズ 洗える もこもこ レディース 保温 防寒 滑り止め 厚底 オフィス 男女兼用 (黒猫B, 標準, 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",3,0.12%,3,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2YQQZMV,B0G2CTKW6Q,"[CALM.st] 猫 ねこ スリッパ もふもふ 室内 冬用 猫柄 ルームシューズ 洗える もこもこ レディース 保温 防寒 滑り止め 厚底 オフィス 男女兼用 (黒猫A, 標準, 日本の靴のサイズ寸法, 大人, 数値, 24.0 cm)",20,0.78%,25,0.71%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2YQQZMV,B0G2CTM438,"[CALM.st] 猫 ねこ スリッパ もふもふ 室内 冬用 猫柄 ルームシューズ 洗える もこもこ レディース 保温 防寒 滑り止め 厚底 オフィス 男女兼用 (黒猫A, 標準, 日本の靴のサイズ寸法, 大人, 数値, 23.0 cm)",9,0.35%,16,0.45%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2M8VJLW,B0G2CXQKXB,[CALM.st] 靴下 レディース ソックス くるぶし 綿 防臭 通気 吸汗 脱げない セット 無地 シンプル オフィス カジュアル スポーツ ギフト 3足 5足 (4),3,0.12%,5,0.14%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2YQQZMV,B0G2CY6CVQ,"[CALM.st] 猫 ねこ スリッパ もふもふ 室内 冬用 猫柄 ルームシューズ 洗える もこもこ レディース 保温 防寒 滑り止め 厚底 オフィス 男女兼用 (黒猫B, 標準, 日本の靴のサイズ寸法, 大人, 数値, 22.5 cm)",10,0.39%,10,0.28%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2M8VJLW,B0G2M8VJLW,[CALM.st] 靴下 レディース ソックス くるぶし 綿 防臭 通気 吸汗 脱げない セット 無地 シンプル オフィス カジュアル スポーツ ギフト 3足 5足,1,0.04%,1,0.03%,0.00%,0,0.00%,￥0,0,0,0.00%
B0G2YQQZMV,B0G2YQQZMV,[CALM.st] 猫 ねこ スリッパ もふもふ 室内 冬用 猫柄 ルームシューズ 洗える もこもこ レディース 保温 防寒 滑り止め 厚底 オフィス 男女兼用,1,0.04%,1,0.03%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FK3TJSSH,B0G2YVGL2W,"[CALM.st] メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通学 梅雨 学校 無地 (ブラックレッド, 日本の靴のサイズ寸法, 大人, 数値, 26.5 cm)",4,0.16%,6,0.17%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FK3TJSSH,B0G2YW4447,[CALM.st] メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通学 梅雨 学校 無地,6,0.23%,9,0.26%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2YXDX61,B0G2YXDX61,[CALM.st] 腹巻 薄手 厚手 温活 ウエストウォーマー 防寒 冷え対策 レディース 綿 ボア 伸縮フィット マタニティ 就寝 メンズ,3,0.12%,5,0.14%,0.00%,0,0.00%,￥0,0,0,0.00%