"日付","トランザクションの種類","注文番号","商品の詳細","商品価格合計","プロモーション割引合計","Amazon手数料","その他","合計 (JPY)"
"2025/3/31","注文に対する支払い","249-2181329-1238226","呪術廻戦 18 (ジャンプコミックス), 呪術廻戦 19 (ジャンプコミックス)...","1265","0","-492","112","885"
"2025/3/31","注文に対する支払い","250-5308260-8975840","ジャンプGIGA 2024 AUTUMN","2073","0","-2604","1689","1158"
"2025/3/30","マーケットプレイス配送サービス","503-9252349-2573455","請求","-160","0","0","-16","-176"
"2025/3/30","サービス料金","---","納品時の輸送手数料","0","0","0","-1121","-1121"
"2025/3/30","注文に対する支払い","250-8402074-1920612","メンズ 多機能 作業着 カーゴ パンツ ポケット ロング カジュアル ワイド ズ...","2546","0","-748","290","2088"
"2025/3/30","注文に対する支払い","250-2698798-8497444","呪術廻戦 18 (ジャンプコミックス)","422","0","-164","37","295"
"2025/3/29","マーケットプレイス配送サービス","250-5697629-6452633","請求","-160","0","0","-16","-176"
"2025/3/28","注文に対する支払い","250-9025110-5588656","レディース ワンピース ロング丈 セットアップ ニット 異素材 切替 長袖 大き...","3455","0","-781","307","2981"
"2025/3/26","注文に対する支払い","249-0068856-7642252","薬屋のひとりごと(12) (ビッグガンガンコミックス)","677","0","-210","61","528"
"2025/3/25","注文に対する支払い","503-6567156-7509430","レディース ワンピース ロング丈 セットアップ ニット 異素材 切替 長袖 大き...","3455","0","-781","307","2981"
"2025/3/25","マーケットプレイス配送サービス","503-6620814-3112632","請求","-510","0","0","-51","-561"
"2025/3/25","注文に対する支払い","250-9768751-1744653","レディース スウェット 上下 セット トレーナー ジャージ 部屋着 ゆったり 無...","2618","0","-890","233","1961"
"2025/3/24","サービス料金","---","納品時の輸送手数料","0","0","0","-857","-857"
"2025/3/24","マーケットプレイス配送サービス","503-7613994-2155010","請求","-425","0","0","-43","-468"
"2025/3/24","サービス料金","---","納品時の輸送手数料","0","0","0","-659","-659"
"2025/3/24","注文に対する支払い","250-1495205-9929417","メンズ トート バッグ 大容量 ビジネス 軽量 2way シンプル お洒落 ショ...","2709","0","-874","241","2076"
"2025/3/24","注文に対する支払い","249-8796807-7570224","メンズ トート バッグ 大容量 ビジネス 軽量 2way シンプル お洒落 ショ...","3345","0","-995","298","2648"
"2025/3/23","注文に対する支払い","503-7621607-1435046","ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソコン 収納 就活 通...","3255","0","-982","289","2562"
"2025/3/22","注文に対する支払い","250-7669016-1344667","レディース ファスナー 膝下 スカート ミモレ 通年 タイト 着痩せ ロング マ...","1800","0","-491","160","1469"
"2025/3/22","注文に対する支払い","503-4514740-8340662","呪術廻戦 19 (ジャンプコミックス)","422","0","-164","37","295"
"2025/3/22","注文に対する支払い","250-0875825-5855006","レディース ワンピース ロング丈 セットアップ ニット 異素材 切替 長袖 大き...","3455","0","-781","307","2981"
"2025/3/22","注文に対する支払い","503-0643715-5309434","呪術廻戦 18 (ジャンプコミックス), 呪術廻戦 19 (ジャンプコミックス)","844","0","-328","74","590"
"2025/3/21","マーケットプレイス配送サービス","250-2698798-8497444","請求","-160","0","0","-16","-176"
"2025/3/21","注文に対する支払い","249-7223396-5400619","レディース ファスナー 膝下 スカート ミモレ 通年 タイト 着痩せ ロング マ...","1800","0","-491","160","1469"
"2025/3/21","注文に対する支払い","249-2624130-4986230","メンズ トート バッグ 大容量 ビジネス 軽量 2way シンプル お洒落 ショ...","3345","0","-995","298","2648"
"2025/3/21","注文に対する支払い","503-3818021-3740605","メンズ トート バッグ 大容量 ビジネス 軽量 2way シンプル お洒落 ショ...","2709","-209","-874","450","2076"
"2025/3/17","注文に対する支払い","250-7934235-1481436","週刊少年ジャンプ (1号)","545","0","-779","3308","3074"
"2025/3/17","注文に対する支払い","250-7067808-7583806","【推しの子】 15 (ヤングジャンプコミックス)","697","0","-213","62","546"
"2025/3/17","注文に対する支払い","503-8396563-0946207","レディース ファスナー 膝下 スカート ミモレ 通年 タイト 着痩せ ロング マ...","1800","-134","-491","294","1469"
"2025/3/17","注文に対する支払い","503-2067247-9756654","ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソコン 収納 就活 通...","3500","0","-1017","311","2794"
"2025/3/17","注文に対する支払い","250-1770554-7539037","ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソコン 収納 就活 通...","3500","0","-1017","311","2794"
"2025/3/15","注文に対する支払い","503-9219054-7183867","転生賢者の異世界ライフ~第二の職業を得て、世界最強になりました~(24) (ガン...","641","0","-204","57","494"
"2025/3/14","マーケットプレイス配送サービス","503-4514740-8340662","請求","-160","0","0","-16","-176"
"2025/3/13","マーケットプレイス配送サービス","503-0643715-5309434","請求","-339","0","0","-34","-373"
"2025/3/13","注文に対する支払い","250-3263658-6943816","極彩色 東京卍リベンジャーズ Brilliant Full Color Edit...","777","0","-228","69","618"
"2025/3/11","注文に対する支払い","503-4341882-8071050","最強ジャンプ (2月号), 最強ジャンプ (2月号)","3181","0","-1011","1884","4054"
"2025/3/9","マーケットプレイス配送サービス","250-7067808-7583806","請求","-160","0","0","-16","-176"
"2025/3/9","注文に対する支払い","249-1398253-6006223","最強ジャンプ 2024年 02 月号 [雑誌]","918","0","-253","82","747"
"2025/3/9","サービス料金","---","広告費用","0","0","-121","0","-121"
"2025/3/8","サービス料金","---","納品時の輸送手数料","0","0","0","-857","-857"
"2025/3/8","サービス料金","---","納品時の輸送手数料","0","0","0","-659","-659"
"2025/3/8","注文に対する支払い","249-7551414-4069458","最強ジャンプ 2024年 02 月号 [雑誌]","918","0","-253","82","747"
"2025/3/8","注文に対する支払い","249-5503973-9901428","極彩色 東京卍リベンジャーズ Brilliant Full Color Edit...","777","0","-228","69","618"
"2025/3/8","注文に対する支払い","250-3604546-4283000","ジャンプGIGA 2024 AUTUMN","1773","0","-407","157","1523"
"2025/3/7","注文に対する支払い","249-8047356-7092668","最強ジャンプ (2月号)","1637","0","-514","945","2068"
"2025/3/7","注文に対する支払い","503-3899242-1682239","ジャンプGIGA 2024 AUTUMN","1773","0","-407","157","1523"
"2025/3/7","注文に対する支払い","503-6654694-3799021","ウルトラジャンプ 2023年 03 月号 [雑誌]","1909","0","-563","970","2316"
"2025/3/7","注文に対する支払い","503-4332412-6739854","呪術廻戦 18 (ジャンプコミックス), 呪術廻戦 19 (ジャンプコミックス)","844","0","-328","74","590"
"2025/3/6","マーケットプレイス配送サービス","503-9219054-7183867","請求","-160","0","0","-16","-176"
"2025/3/6","注文に対する支払い","249-9150037-7126269","極彩色 東京卍リベンジャーズ Brilliant Full Color Edit...","2332","0","-684","206","1854"
"2025/3/4","マーケットプレイス配送サービス","250-3263658-6943816","請求","-160","0","0","-16","-176"
"2025/3/2","サービス料金","---","納品時の輸送手数料","0","0","0","-1121","-1121"
"2025/3/2","注文に対する支払い","249-8937735-4719847","ダンダダン 18 (ジャンプコミックス)","536","0","-301","748","983"
"2025/3/2","サービス料金","---","月額登録料：","0","0","-5390","0","-5390"
"2025/3/1","注文に対する支払い","250-9339469-0543829","呪術廻戦 14 (ジャンプコミックス), 呪術廻戦 19 (ジャンプコミックス)...","1265","0","-492","112","885"
"2025/3/1","注文に対する支払い","249-2472499-5873416","Dyson(ダイソン) ドライヤー Dyson Airwrap™マルチスタイラー...","81818","0","-15662","13100","79256"