（親）ASIN,タイトル,セッション数 - 合計,ページビュー - 合計,注文された商品点数,ユニットセッション率,注文商品の売上額,注文品目総数
B0FDWKWXD6,[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事,173,217,4,2.31%,"￥8,920",4
B0DHTMYFWB,ジャンプGIGA 2024 AUTUMN,102,149,0,0.00%,￥0,0
B0FCCL78LV, ,56,70,1,1.79%,"￥2,980",1
4088832019,呪術廻戦 20 (ジャンプコミックス),44,51,0,0.00%,￥0,0
B0FDWLJK1M,[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整 マタニティ Aライン フレア ゆったり,33,40,0,0.00%,￥0,0
B0FDGHSR2K,[CALM.st] サテン キャミソール レディース インナー スクエアネック 肩紐隠し タンクトップ 重ね着 トップス,28,32,1,3.57%,"￥1,780",1
B0FK3TJSSH,[CALM.st] メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通学 梅雨 学校 無地,27,28,1,3.70%,"￥2,680",1
B0FDRD4JZ4,[CALM.st] ノースリーブ ワンピース 膝丈 ポケット 体型 カバー 着痩せ レディース フレンチ ミディアム,26,33,2,7.69%,"￥3,560",2
B0FGWL2QPR,[CALM.st] サンダル 厚底 作業 靴 メンズ ビーチ 軽量 スポーティー 日常 レジャー フラット フッドベット,25,31,1,4.00%,"￥2,980",1
B0FK3CQZPZ,[CALM.st] スカート ミニ ミニスカ レディース コスプレ Aライン ベルト インナー 付き マイクロ プリーツ,23,25,1,4.35%,"￥2,480",1
B0FDWM35JK,[CALM.st] ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソコン 収納 就活 通勤 出張 兼用,21,25,0,0.00%,￥0,0
B0FDG685PG,[CALM.st] レディース ファスナー 膝下 スカート ミモレ 通年 タイト 着痩せ ロング マキシ丈 きれいめ,20,22,0,0.00%,￥0,0
B0FGVH8P89,[CALM.st] レディース サンダル 厚底 スポーツ マジックテープ 幅広 立ち仕事 ランニング レジャー 海,20,25,0,0.00%,￥0,0
B0FDW2ZWQY,[CALM.st] メンズ トート バッグ 大容量 ビジネス 軽量 2way シンプル お洒落 ショルダー ファスナー,17,25,0,0.00%,￥0,0
4065345626,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(28) (KCデラックス),16,24,0,0.00%,￥0,0
4065351707,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(31) (KCデラックス),16,20,1,6.25%,￥860,1
4065348765,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(30) (KCデラックス),15,19,0,0.00%,￥0,0
4056117527,永久保存版 阪神タイガース 2023メモリアルブック: 阪神タイガース38年ぶり日本一! (GAKKEN MOOK),12,19,0,0.00%,￥0,0
4065348757,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(29) (KCデラックス),12,13,0,0.00%,￥0,0
B0FDW2XL22,[CALM.st] ブラウス レディース スクエア ネック シャツ 長袖 ボリューム 襟なし 体型カバー 韓国,12,19,0,0.00%,￥0,0
4065341841,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(26) (KCデラックス),11,31,0,0.00%,￥0,0
B0FCDKGHYT,サンダル クロッグ スリッパ サボ キッズ 子供 女の子 男の子 海 水遊び 軽量 屋内 シューズ [並行輸入品],11,15,2,18.18%,"￥3,160",2
B0FGVLZD3B,[CALM.st] レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 冷房 花柄 フレア,11,14,0,0.00%,￥0,0
4065341779,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(25) (KCデラックス),10,15,0,0.00%,￥0,0
B0FDWLLPQP,[CALM.st] ヘンリーネック Tシャツ 半袖 レディース 綿麻 サラサラ 無地 体型カバー 涼感 トップス 高見え,10,15,0,0.00%,￥0,0
4065331560,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(19) (KCデラックス),9,9,0,0.00%,￥0,0
4065335566,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(21) (KCデラックス),6,6,0,0.00%,￥0,0
B0FDLGKRZP,[CALM.st] サテン ナイト ガウン レース レディース Vネック 大きいサイズ ネグリジェ ルーム ワンピース,5,5,0,0.00%,￥0,0
B0FF3GN6JB,[CALM.st] シフォン ブラウス レディース 長袖 無地 ゆったり オフィス トップス シースルー Uネック,3,3,0,0.00%,￥0,0
4065345588,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(27) (KCデラックス),2,4,1,50.00%,￥840,1
B0FCC7S5JX,ランニング シューズ メッシュ レディース トレーニング スポーツ 作業 軽量 カジュアル ジム [並行輸入品],2,3,0,0.00%,￥0,0
B0FCCJQR6R, ,0,0,0,0.00%,￥0,0